uid,eid,rid,id,title,stime,creator_company,creator_occupation,sign,creator_uname,browsecount,crawler_time
1315549,10049005,0,87355,中银证券 | 张裕经营情况交流,2022-05-05 15:00:00,中银证券,研究所,客户至上 稳健进取,中银证券研究所,148,2022-05-05 16:23:39
1231140,10049242,218891,87615,方正证券 | 华盛昌(002980)2021年报及2022一季报业绩交流会,2022-05-05 15:00:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,19,2022-05-05 16:23:39
1363933,10049090,0,87447,财通商社 | 上海家化一季报及企业发展战略线上交流,2022-05-05 15:00:00,财通证券,,以才聚财，财通天下,财通证券研究所,81,2022-05-05 16:23:42
1173009,10048648,0,86987,申万宏源基础化工 | 山东赫达近况交流电话会,2022-05-05 15:00:00,申万宏源证券机构事业部,@sws,唯实求新 厚德笃行,申万宏源证券研究所,79,2022-05-05 16:23:42
1154678,10048955,0,87300,天风食品饮料｜乐惠国际近期情况交流电话会,2022-05-05 15:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,92,2022-05-05 16:23:42
1614390,10048144,0,86457,民生能源开采 | 晋控煤业季报解读电话会议,2022-05-05 15:00:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,76,2022-05-05 16:23:42
1180976,10048687,0,87027,海通证券 | 食品饮料团队：香飘飘年报&一季报交流电话会议,2022-05-05 15:00:00,海通证券,海通证券研究所,海纳百川 通向辉煌,海通证券研究所,39,2022-05-05 16:23:42
1236157,10049373,0,87754,中泰机械｜看好浙江鼎力,2022-05-05 15:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,73,2022-05-05 16:23:42
1154678,10049209,0,87577,天风电子｜东软集团2021年度及一季度说明会,2022-05-05 15:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,45,2022-05-05 16:23:42
2499763,10048723,0,87063,上证电子 | 光力科技2022年一季报解读电话会议,2022-05-05 15:00:00,上海证券有限责任公司,运营,上海证券有限责任公司,上海证券研究所,69,2022-05-05 16:23:42
1362689,10048585,0,86918,安信交运 | 圆通速递 - 大消费2022夏季线上策略会,2022-05-05 15:00:00,安信证券,安信证券,亲和，信任，专业，迅速,安信证券,121,2022-05-05 16:23:42
1164767,10047752,0,86051,东吴建筑建材 | 再升科技一季报交流,2022-05-05 15:00:00,东吴证券,研究所,待人忠 办事诚 共享共赢,东吴证券研究所,30,2022-05-05 16:23:42
1436513,10048364,0,86687,潮宏基21年报及22年一季报业绩交流会,2022-05-05 15:00:00,,,这个人很懒，什么都没留下,罗晓婷,116,2022-05-05 16:23:42
2372321,10046885,0,85134,首创有色 | 海亮股份2021年报&2022年一季报交流,2022-05-05 15:00:00,首创证券,运营,首创证券研究所,首创证券研究所,50,2022-05-05 16:23:42
1173009,10048366,0,86689,申万宏源计算机 | 亿嘉和业绩及经营近况交流会,2022-05-05 15:00:00,申万宏源证券机构事业部,@sws,唯实求新 厚德笃行,申万宏源证券研究所,118,2022-05-05 16:23:42
1231140,10049138,0,87496,方正证券 | 盛路通信业季交流会,2022-05-05 15:00:00,方正证券,方正证券研究所,正在你身边,方正证券研究所,19,2022-05-05 16:23:42
2282981,10047556,0,85853,德邦固收信用 | 长久物流/长久转债（AA/AA）线上电话会,2022-05-05 15:00:00,德邦证券,研究所,致力于新经济行业的特色研究,德邦证券研究所,68,2022-05-05 16:23:42
1614390,10047290,0,85574,民生纺服 | 歌力思公司经营交流会议,2022-05-05 15:00:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,36,2022-05-05 16:23:42
1665106,10048538,0,86868,国海汽车｜腾龙股份近况交流,2022-05-05 15:00:00,国海证券,研究所,心怀家国，洞悉四海,国海证券研究所,152,2022-05-05 16:23:42
1331015,10047745,0,86045,光大证券 | 体外诊断机遇与挑战系列电话会之九  - 之江生物2021年报及2022年一季报交流会,2022-05-05 15:00:00,光大证券,研究所,含弘光大，品物咸亨,光大证券研究所,151,2022-05-05 16:23:42
1265844,10048116,0,86429,国信电子 | 卓胜微2021年报&一季报交流,2022-05-05 15:00:00,国信证券研究所,,同心同行,国信证券经济研究所,197,2022-05-05 16:23:42
1236157,10047966,0,86274,中泰环保公用｜申菱环境21年报及22年一季报交流,2022-05-05 15:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,36,2022-05-05 16:23:42
1236157,10049232,0,87604,中泰化工 | 中触媒业绩交流会议,2022-05-05 15:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,28,2022-05-05 16:23:45
1534239,10048537,0,86867,中信证券 | 利扬芯片（688135.SH）2021年报及2022一季报业绩交流会,2022-05-05 15:00:00,中信证券,中信证券研究所,激情、创新、整合、卓越,中信证券研究部,83,2022-05-05 16:23:45
1154678,10049128,0,87486,天风家电｜帅丰电器交流,2022-05-05 15:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,32,2022-05-05 16:23:45
1236157,10048999,0,87349,中泰机械｜钧达股份2022年一季报解读,2022-05-05 15:00:00,中泰证券,研究所,专业·领先·深度·诚信,中泰证券研究所,88,2022-05-05 16:23:45
1331015,10048210,0,86524,光大证券 | 视源股份2022年一季报业绩说明会,2022-05-05 15:00:00,光大证券,研究所,含弘光大，品物咸亨,光大证券研究所,87,2022-05-05 16:23:45
1154678,10049306,0,87683,天风医药  | 华兰生物公司交流,2022-05-05 15:00:00,天风证券,天风证券研究所,致力做最好的投研服务,天风证券研究所,131,2022-05-05 16:23:45
2049143,10049378,0,87759,华安轻纺｜哈尔斯经营情况及交流展望,2022-05-05 15:00:00,华安证券,华安证券研究所,以客户为中心、以服务实体经济为使命,华安证券研究所,8,2022-05-05 16:23:45
1448012,10048941,0,87286,华鑫食饮 | 酒鬼酒近期进展交流,2022-05-05 15:00:00,华鑫证券,,诚信、专业、稳健、高效,华鑫证券研究所,119,2022-05-05 16:23:45
2049143,10048332,0,86651,华安电子 | 景旺电子电话会议,2022-05-05 15:00:00,华安证券,华安证券研究所,以客户为中心、以服务实体经济为使命,华安证券研究所,79,2022-05-05 16:23:45
2173847,10048525,0,86855,银河机械 | 新锐股份2021年报&2022一季报电话会议,2022-05-05 15:00:00,中国银河证券股份有限公司,研究所,创造财富，担当责任,银河证券研究所,59,2022-05-05 16:23:45
1614390,10047239,0,85520,民生计算机 | 四维图新2021年报及2022年一季报解读,2022-05-05 15:00:00,民生证券研究所,,民生在勤 守正出新,民生证券研究院,376,2022-05-05 16:23:45
