,date,name,SecuCode,SecuCategory,ListedState
6085344,2020/12/23-24,中金岭南,000060,1.0,1.0
204489,2020/11/3-10,中鼎股份,000887,1.0,1.0
15804253,2020-02-11 00:00:00,丸美股份,603983,1.0,1.0
15804254,2020-02-02 00:00:00,乐心医疗,300562,1.0,1.0
15804255,2020-04-29 00:00:00,九洲药业,603456,1.0,1.0
204490,2020/5/25-29,云内动力,000903,1.0,1.0
15804256,2020-02-20 00:00:00,云南铜业,000878,1.0,1.0
15804271,2020-02-24 00:00:00,云铝股份,000807,1.0,1.0
16006776,2020-07-23 00:00:00,亚士创能,603378,1.0,1.0
6081371,2020/11/10-12,亚玛顿,002623,1.0,1.0
15804272,2019-11-29 00:00:00,亚玛顿,002623,1.0,1.0
6087390,2019-03-04 00:00:00,京能电力,600578,1.0,1.0
16007773,2019-03-06 00:00:00,京能电力,600578,1.0,1.0
16006701,2020-02-25 00:00:00,众信旅游,002707,1.0,1.0
16006703,2020-05-15 00:00:00,众源新材,603527,1.0,1.0
16006704,2020-02-14 00:00:00,佳发教育,300559,1.0,1.0
16006705,2020-02-25 00:00:00,元隆雅图,002878,1.0,1.0
4663148,2020/1/7-9,光大银行,601818,1.0,1.0
16006706,2020-02-05 00:00:00,克明面业,,,
16006707,2020-05-25 00:00:00,全筑股份,603030,1.0,1.0
4051874,2020-01-10 00:00:00,兴业银行,601166,1.0,1.0
16006844,2020-03-02 00:00:00,再升科技,603601,1.0,1.0
4055850,2020-01-14 00:00:00,农业银行,601288,1.0,1.0
16006708,2020-03-12 00:00:00,凯伦股份,300715,1.0,1.0
16006711,2020-02-11 00:00:00,凯利泰,300326,1.0,1.0
16006710,2020-02-07 00:00:00,凯利泰,300326,1.0,1.0
16006712,2020-02-05 00:00:00,创业慧康,300451,1.0,1.0
4054761,2020/1/7-9,北京银行,601169,1.0,1.0
16006713,2020-02-20 00:00:00,北方稀土,600111,1.0,1.0
2055,2020/1/8-9,华侨城,000069,1.0,1.0
16006719,2020-03-06 00:00:00,华力创通,300045,1.0,1.0
6289889,2019-03-04 00:00:00,华夏幸福,600340,1.0,1.0
16006720,2020-02-19 00:00:00,华夏航空,002928,1.0,1.0
16006721,2020-03-26 00:00:00,华孚时尚,002042,1.0,1.0
16007960,2019-11-19 00:00:00,华工科技,000988,1.0,1.0
16006722,2020-02-02 00:00:00,华工科技,000988,1.0,1.0
16006728,2020-02-13 00:00:00,华数传媒,000156,1.0,1.0
16006729,2020-02-10 00:00:00,华新水泥,600801,1.0,1.0
6081372,2020-06-19 00:00:00,华策影视,300133,1.0,1.0
6087387,2020-12-01 00:00:00,华菱钢铁,000932,1.0,1.0
6085346,2020/6/1-4,华谊兄弟,300027,1.0,1.0
16007955,2020-06-03 00:00:00,华阳国际,002949,1.0,1.0
1216692,2020-01-13 00:00:00,华阳国际,002949,1.0,1.0
16006732,2020-02-16 00:00:00,卓翼科技,002369,1.0,1.0
6086571,2020/5/27-28,南京万科,,,
6082830,2020/5/27-28,南京银行,601009,1.0,1.0
16006733,2020-02-07 00:00:00,南钢股份,600282,1.0,1.0
16006734,2020-02-14 00:00:00,博威合金,601137,1.0,1.0
15804139,2019-06-04 00:00:00,博威合金,601137,1.0,1.0
16006735,2020-02-07 00:00:00,博腾股份,300363,1.0,1.0
6290012,2019/12/11-13,厦门空港,600897,1.0,1.0
16006736,2020-02-28 00:00:00,厦门象屿,600057,1.0,1.0
16006737,2020-02-18 00:00:00,厦门钨业,600549,1.0,1.0
16006772,2020-02-12 00:00:00,同仁堂,600085,1.0,1.0
6081363,2020/10/19-23,君实生物,688180,1.0,1.0
1014262,2020/5/22-28,周大生,002867,1.0,1.0
6290013,2019/12/5-6,唐山万科,,,
6290014,2019/12/5-6,唐山融创,,,
16006777,2020-02-14 00:00:00,四通新材,,,
6289892,2019-03-04 00:00:00,国投电力,600886,1.0,1.0
16006778,2019-01-10 00:00:00,国检集团,603060,1.0,1.0
811832,2020-01-13 00:00:00,垒知集团,002398,1.0,1.0
16006775,2020-07-15 00:00:00,垒知集团,002398,1.0,1.0
16006779,2020-02-13 00:00:00,垒知集团,002398,1.0,1.0
16006780,2020-02-21 00:00:00,塔牌集团,002233,1.0,1.0
609402,2020-01-13 00:00:00,塔牌集团,002233,1.0,1.0
16006781,2020-07-07 00:00:00,塔牌集团,002233,1.0,1.0
16006782,2020-07-14 00:00:00,多伦科技,603528,1.0,1.0
16006783,2020-02-03 00:00:00,大立科技,002214,1.0,1.0
6083553,2020/11/10-12,天合光能,688599,1.0,1.0
6081373,2020/6/1-5,天合光能,688599,1.0,1.0
16006784,2019-02-14 00:00:00,天康生物,002100,1.0,1.0
16006786,2019-02-20 00:00:00,天康生物,002100,1.0,1.0
6290015,2019/12/5-6,天津万科,,,
6290016,2019/12/5-6,天津正荣,,,
6290017,2019/12/5-6,天津融创,,,
16006788,2020-02-24 00:00:00,天通股份,600330,1.0,1.0
16006789,2020-05-28 00:00:00,奥飞娱乐,002292,1.0,1.0
16006794,2020-02-08 00:00:00,奥飞数据,300738,1.0,1.0
16006795,2020-12-16 00:00:00,安宁股份,002978,1.0,1.0
16006796,2020-02-11 00:00:00,安徽合力,600761,1.0,1.0
16006797,2020-04-28 00:00:00,完美世界,002624,1.0,1.0
6085347,2020/11/10-12,宏和科技,603256,1.0,1.0
16006831,2019-01-28 00:00:00,岭南股份,002717,1.0,1.0
16006830,2020-02-19 00:00:00,岭南股份,002717,1.0,1.0
16006837,2020-01-09 00:00:00,岭南股份,002717,1.0,1.0
5474076,2020/11/3-10,岱美股份,603730,1.0,1.0
16006832,2020-03-30 00:00:00,帝欧家居,002798,1.0,1.0
16006833,2020-03-06 00:00:00,常熟银行,601128,1.0,1.0
0,2020-01-10 00:00:00,平安银行,000001,1.0,1.0
16006834,2020-02-14 00:00:00,广汇宝信,,,
16006836,2020-12-15 00:00:00,广汇汽车,600297,1.0,1.0
3444531,2020/11/3-10,广汇汽车,600297,1.0,1.0
16006835,2020-02-14 00:00:00,广汇汽车,600297,1.0,1.0
6083554,2020/7/22-23,庞源租赁,,,
