,0
792,'上海六禾投资齐艳涛北京中诚信托任鹏风云投资单鹏飞熵一资本汤佩徽财富证券
232,'上海农商银行杨淋滟平安证券杨祺新华基金
13066,'上海准锦投资程乙峰上海证券袁威津睿郡资产常吉融通基金卢睿仁桥资产张鸿运趣时资产腾春晓前海联合基金胡毅发浦银国际证券沈岱璞远资产魏莱平安资管刘宁平安基金
13036,'上海利幄私募基金管理有限公司中信建投证券股份有限公司资产管理部中信证券资产管理部德邦资产管理有限公司沣谊投资有限责任公司建信基金管理有限责任公司
6311,'上海利檀投资管理有限公司东方证券资产管理有限公司
12200,'上海利檀投资管理有限公司河床资本宽远资产华融证券善渊投资东北证券上海朴信投资新华基金建信基金康庄资产管理丰岭资本长盛基金毅木资产泰康资产管理国家外管局
12553,'上海力元股权投资管理有限公司黎焜太平资产管理有限公司邵军上海昶元投资管理有限公司卓亚天风证券
11221,'上海华信证券
12183,'上海华信证券包社
12933,'上海华信证券投资总部
6181,'上海华信证券有限责任公司
10164,'上海华信证券有限责任公司南宁营业部
15826,'上海华宝证券
5925,'上海华宝证券有限责任公司
956,'上海华金证券
8881,'上海协尹投资管理有限公司经纬中信证券股份有限公司
8478,'上海卓中投资管理有限公司祥鸣投资管理上海有限公司盈科汇金华金证券有限责任公司
13471,'上海卓复投资中信证券
13885,'上海南土投资杜凡海通证券
12918,'上海南土资产东方证券
6647,'上海南土资产管理有限公司张程交银施罗德基金管理有限公司臧怡中意资产管理有限责任公司高兰君国联安基金管理有限公司逯海燕华泰证券资产管理公司车育文千合资本管理有限公司
3178,'上海南土资产管理有限公司招商基金真科基金华泰柏瑞基金山西证券元葵资产民生加银基金泰康资产管理有限责任公司
2094,'上海南土资产管理有限公司海通证券股份有限公司国元证券股份有限公司东方证券股份有限公司
4351,'上海南土资产胡孟汉中泰证券
10687,'上海博观张家麟中金公司杨旸光大证券
3726,'上海博道投资姚铁睿上投摩根王浩生命保险资产杨帅泰康资产邹志泰达宏利基金周琦凯太平基金应豪天弘基金田俊维新华资产兰宏阳兴业证券资管部包丽华银河基金董忆银华基金
14791,'上海博道投资管理有限公司熊奇中天国富证券有限公司
7090,'上海博道投资管理有限公司陈磊安信证券股份有限公司赵宁引领投资有限公司潘晨兴华商基金管理有限公司
1605,'上海厚峰资产上海华信证券上海金犀资本上海京笙投资管理有限公司
4598,'上海合懿投资肖世源景林资产李朝东北证券
11383,'上海合晟资产管理股份有限公司张岩松河清资本宋艳平诺安基金王晴鸿道投资方云龙农银汇理基金赵月东方证券
5342,'上海名禹资产管理公司联储证券鼎天投资
5012,'上海和谐汇一资产管理有限公司华泰证券上海资产管理有限公司深圳悟空投资管理有限公司西安瀑布资产管理有限公司
5540,'上海和谐汇一资产管理有限公司华西证券股份有限公司
9280,'上海和谐汇一资产管理有限公司长城证券东方证券资产管理有限公司上汽颀臻上海资产管理有限公司太平洋资产管理有限责任公司西部利得基金管理有限公司中融国际信托有限公司淳臻投资上海深梧资产管理有限公司深圳悟空投资管理有限公司汇添富基金管理股份有限公司朱雀基金思昊资本华润元大基金管理有限公司光大保德信基金管理有限公司华泰证券资产管理有限公司兴银基金申万宏源证券有限公司浙商基金管理有限公司东方基金管理有限责任公司敦和资产管理有限公司创业惠康
9272,'上海善照投资溪牛投资东吴证券新华资产东兴基金
7542,'上海喜世润投资有限公司大家资产管理有限责任公司光大保德信基金管理有限公司杭州德亚投资有限责任公司亚太财产保险有限公司广发银行理财子公司杭州银行理财中国天风证券股份有限公司海通证券股份有限公司
7449,'上海嘉定证券
3172,'上海国信证券投资有限公司东北证券股份有限公司上海有谱投资管理有限公司民生证券股份有限公司九州证券股份有限公司上海事业部誉华资产管理上海有限公司中融国际信托有限公司
12674,'上海国泰君安证券
8842,'上海国泰君安证券资产管理有限公司
12484,'上海国泰君安证券资产管理有限公司上海华平投资管理有限公司
12820,'上海国泰君安证券资产管理有限公司上海盘京投资管理中心
11797,'上海国泰君安证券资产管理有限公司中融基金管理有限公司
13420,'上海国泰君安证券资产管理有限公司国融基金管理有限公司淳厚基金管理有限公司东证融汇证券资产管理有限公司中科沃土基金管理有限公司前海开源基金管理有限公司寻常上海投资管理有限公司广州金控资产管理有限公司中信建投证券股份有限公司中信证券股份有限公司惠升基金管理有限责任公司兴全基金管理有限公司中融基金管理有限公司华融基金管理有限公司上海明河投资管理有限公司富敦投资管理上海有限公司
11035,'上海国泰君安证券资产管理有限公司大成基金管理有限公司
10206,'上海国泰君安证券资产管理有限公司张浩安邦资产管理有限责任公司
8160,'上海国泰君安证券资产管理有限公司梁爽上海和谐汇一资产管理有限公司
4000,'上海国泰君安证券资产管理有限公司肖凯群益证券投资信托股份有限公司王柏强幸福人寿保险股份有限公司韩贵新深圳鑫然投资管理有限公司李希平安基金管理有限公司黄维西藏东财基金管理有限公司朱亮鹏华基金管理有限公司王璐中金基金管理有限公司杜超禹景顺长城基金管理有限公司张雪薇天安人寿保险股份有限公司刘瑜兴银基金管理有限责任公司翁公羽泰康资产管理有限责任公司
13195,'上海国鑫高文哲华福证券
5886,'上海复胜资产管理财通证券研究所
4448,'上海大朴资产管理有限公司华泰资产管理有限公司中英人寿保险有限公司中再资产管理股份有限公司华泰保兴基金管理有限公司光大证券股份有限公司东吴证券股份有限公司华夏基金管理有限公司上投摩根基金管理有限公司华商基金管理有限公司鹏扬基金管理有限公司汇添富基金管理有限公司中国人保资产管理有限公司嘉实基金管理有限公司银华基金管理有限公司中信产业基金管理有限公司万家基金管理有限公司
6756,'上海大正投资有限公司王子桐东北证券股份有限公司
2388,'上海大正投资有限公司王子桐中银国际证券股份有限公司陆莎莎博时基金管理有限公司
3162,'上海大筝资产管理有限公司周云东方证券资产管理有限公司
12154,'上海宁泉资产管理有限公司国泰基金管理有限公司泰达宏利基金管理有限公司南通天合投资管理有限公司光大证券云南和润投资管理有限公司禾其投资民生通惠资产管理有限公司大家资产管理有限责任公司五地投资长信基金管理有限公司安信证券资产管理有限公司国投瑞银基金管理有限公司富荣基金管理有限公司鹏华基金管理有限公司元大投信光大永明资产管理股份有限公司
8577,'上海宁泉资产管理有限公司杨海银河基金管理有限公司李一帆华安基金管理有限公司孔涛兴业证券股份有限公司王佩麟长城财富保险资产管理股份有限公司胡纪元华泰柏瑞基金管理有限公司吴邦栋上海大朴资产管理有限公司颜克益工银理财有限责任公司
16885,'上海宇实投资管理有限公司戎姜斌申万宏源证券唐爽爽华西证券
1684,'上海宏嘉资产管理有限公司戊戌资产上海泽升投资管理有限公司华创证券研究所高兴资本乾方共济企业服务咨询有限公司长安国际信托股份有限公司
15356,'上海宏流投资管理有限公司海通证券上海磐稳投资管理有限公司鸿商产业控股集团有限公司
1023,'上海宽潭投资管理有限公司中信证券雪石资产深圳市易同投资有限公司广东圆澄私募证券投资基金有限公司平石资产东吴证券股份有限公司
7205,'上海小木桥路证券营业部
8397,'上海尚雅投资成佩剑兴业证券
15491,'上海尚雅投资成佩剑国都证券有限责任公司
11266,'上海尚雅投资管理有限公司崔磊融通基金管理有限公司姚鑫峰嘉实基金管理有限公司李涛景顺长城基金管理有限公司詹成中国中投证券有限责任公司黎国栋中国中投证券有限责任公司李超长盛基金管理有限公司邓永明新华基金管理有限公司巩显峰平安大华基金管理有限公司韩冰国信证券股份有限公司欧阳仕华深圳市鼎诺投资管理有限公司孙玮国海富兰克林基金管理有限公司
10403,'上海尚雅投资管理有限公司成佩剑华创证券有限责任公司张弋信达证券股份有限公司
2018,'上海尚雅投资管理有限公司研究员韩佳蕊招商证券股份有限公司研究员柴沁虎招商证券股份有限公司分析师姚鑫招商证券股份有限公司
13400,'上海崇山投资有限公司廖思颖英大证券有限责任公司
6141,'上海崇山投资邓东升中泰证券
15230,'上海市证券同业公会
13145,'上海帆勤投资管理有限公司豆俊杰国元证券研究中心耿军军宁波梅山保税港区沪通
5893,'上海师正投资兴业证券
1555,'上海师正投资管理有限公司文洲天弘基金管理有限公司冯烁申万宏源证券有限公司
10677,'上海希瓦资产管理有限公司广东民杉私募证券投资基金管理有限公司爱心人寿保险股份有限公司
15719,'上海常岭资产管理公司裴高翔中信证券股份有限公司
10174,'上海常春藤资产管理有限公司瑞银证券有限责任公司富达基金香港有限公司
14062,'上海常春藤资产管理有限公司缪晟兴业证券证券投资部冯一雪好奇资产管理有限公司万雪飞中天国富证券有限公司伍恺颖天风证券股份有限公司尉鹏洁北信瑞丰基金管理有限公司
5069,'上海常春藤资产管理有限公司饶海宁深圳望正资产管理有限公司旷斌兴业证券自营郜震霄招商基金管理有限公司
751,'上海广发证券
6711,'上海庐雍资产彭高申万菱信基金陈涵泊中信证券
16833,'上海弈慧投资管理有限公司周高鼎东吴证券股份有限公司陈修能财通证券股份有限公司
6758,'上海弥远投资管理有限公司嘉实基金管理有限公司中信证券股份有限公司相聚资本管理有限公司
15303,'上海彤源投资发展有限公司东方阿尔法基金管理有限公司上海汐泰投资管理有限公司东方证券股份有限公司
9135,'上海彤源投资发展有限公司华创证券有限责任公司兴业证券股份有限公司
8847,'上海彤源投资发展有限公司国金证券股份有限公司
415,'上海彤源投资发展有限公司左艾眉天风证券股份有限公司
16969,'上海彤源投资发展有限公司汇丰晋信基金管理有限公司长江证券上海资产管理有限公司汇添富基金管理股份有限公司
10166,'上海彤源投资发展有限公司湧金资产管理有限公司鸿熙资产博道基金恒越基金中信建投证券中融基金管理有限公司
991,'上海彤源投资发展有限公司证券分析师博士张乐安信证券股份有限公司
11860,'上海彤源投资发展有限公司谷玺海通证券股份有限公司范国钦中信证券股份有限公司
11548,'上海彤源投资发展有限公司鼎晖投资上海汐泰投资管理有限公司东北证券股份有限公司上投摩根基金管理有限公司东方马拉松投资管理有限公司
14901,'上海彤源投资证券
2888,'上海彩石资产管理有限公司彩石资产何凯易新兴产业研究部国金证券股份有限公司
13271,'上海德汇兴全基金管理有限公司九泰基金阳光保险东吴证券易方达
953,'上海德汇集团有限公司上投摩根基金管理有限公司华泰证券股份有限公司
17141,'上海德汇集团有限公司证券投资部
1479,'上海总部华安证券股份有限公司
5282,'上海恒复投资管理有限公司财通证券
13532,'上海恬昱投资有限公司王逸欣东方阿尔法基金管理有限公司袁方上海壹德资产管理有限公司张家璇东吴证券秦庆上海甬兴证券资产管理有限公司
13659,'上海惠理投资管理咨询有限公司摩根证券投资信托股份有限公司嘉实基金管理有限公司
12218,'上海惠理投资管理咨询有限公司瑞穗证券亚洲有限公司
15252,'上海慈阳投资管理有限公司中投首善国际资产投资管理有限公司川财证券有限责任公司誉丰控股有限公司
14026,'上海慈阳投资管理有限公司明亚基金管理有限责任公司中银国际证券股份有限公司
15928,'上海慧琛私募基金管理有限公司宝盈基金管理有限公司华泰证券责任有限公司
7570,'上海承周资产管理有限公司广发证券股份有限公司国泰君安证券股份资产管理有限公司
2413,'上海承周资管漆启焱申银万国证券
14881,'上海投资美银美林蓝藤资本西部证券股份有限公司观富资产观富资产管理公司辉立资本九泰基金管理有限公司长城证券股份有限公司
5805,'上海拓璞投资管理有限公司上银基金管理有限公司银河基金管理有限公司山西证券股份有限公司
6029,'上海拓璞投资管理有限公司富国基金管理有限公司长盛基金管理有限公司华创证券有限责任公司海通证券股份有限公司海富通基金管理有限公司太平洋证券股份有限公司华富基金管理有限公司兴全基金管理有限公司农银汇理基金管理有限公司华泰资产管理有限公司
14231,'上海摩根基金肖滨南京证券资管
2703,'上海文多资产栾朝德邦证券
7606,'上海斯诺波投资管理有限公司梅翔国泰元鑫秦宇斌上海惠畅资本沈雪国元证券股份有限公司施雪清上海宝弘景资产管理有限公司
10002,'上海新永镒资产管理有限公司复华证券投资信托股份有限公司上海域秀资产管理有限公司
7726,'上海明河投资管理有限公司姜宇帆广发证券股份有限公司周源华创证券邓怡民生证券股份有限公司
16781,'上海明河投资管理有限公司朱建明宝盈基金管理有限公司李宁汇添富基金管理股份有限公司张帆国寿安保基金管理有限公司刘蓬勃海通证券股份有限公司宋正元上海沃珑港资产管理有限公司陈楠工银理财有限责任公司
12605,'上海易正朗投资管理有限公司东方证券股份有限公司
14820,'上海昶享资产顾向荣华宝兴业基金黄炜上海红象投资韩健中信证券
